100001 	 tachi 	 2 	 2 	 0 	 0 	 なし
100002 	 ネオ 	 5 	 5 	 0 	 0 	 男性 - 新潟県 (1989年生まれ)
100003 	 am1974 	 0 	 0 	 0 	 0 	 なし
100004 	 taboo1012 	 0 	 0 	 0 	 0 	 なし
100006 	 mar 	 0 	 0 	 0 	 0 	 なし
100007 	 ryokunF 	 0 	 0 	 0 	 0 	 なし
100008 	 soh 	 0 	 0 	 0 	 0 	 なし
100009 	 ko-chan 	 0 	 0 	 0 	 0 	 なし
100010 	 tanika 	 1 	 1 	 0 	 1 	 なし
100011 	 おりょうまん 	 0 	 0 	 0 	 0 	 なし
100012 	 hide.T 	 0 	 0 	 0 	 0 	 なし
100013 	 24 	 1 	 1 	 0 	 0 	 なし
100014 	 カータン 	 0 	 0 	 0 	 0 	 なし
100015 	 sino 	 0 	 0 	 0 	 0 	 なし
100016 	 ヒロ7 	 0 	 0 	 0 	 0 	 男性 - 東京都 (1985年生まれ)
100017 	 やっつん 	 0 	 0 	 0 	 0 	 なし
100018 	 taka 	 0 	 0 	 0 	 0 	 なし
100019 	 abya 	 0 	 0 	 0 	 0 	 なし
100020 	 かじ 	 0 	 0 	 0 	 0 	 なし
100021 	 びるかん 	 0 	 0 	 0 	 0 	 なし
100022 	 ナナコウキ 	 0 	 0 	 0 	 0 	 なし
100023 	 chop-bok 	 0 	 0 	 0 	 0 	 なし
100024 	 mutomon 	 0 	 0 	 0 	 0 	 なし
100025 	 highland 	 1 	 1 	 0 	 1 	 男性 - 茨城県
100026 	 たこ焼き 	 0 	 0 	 0 	 0 	 なし
100027 	 ジャッジマン 	 0 	 0 	 0 	 0 	 なし
100028 	 koo 	 1 	 1 	 0 	 0 	 なし
100029 	 lostman539 	 0 	 0 	 0 	 0 	 なし
100030 	 smallmaroon 	 0 	 0 	 0 	 0 	 なし
100031 	 naop778 	 2 	 1 	 0 	 0 	 なし
100033 	 mashic 	 0 	 0 	 0 	 0 	 なし
100034 	 バリー 	 0 	 0 	 0 	 0 	 なし
100035 	 食い倒れ５５ 	 5 	 4 	 0 	 0 	 なし
100036 	 皆二愛ヲ 	 0 	 0 	 0 	 0 	 なし
100037 	 skier 	 0 	 0 	 0 	 0 	 なし
100038 	 なちゅ 	 0 	 0 	 0 	 0 	 なし
